module,io_group,io_channel,chip_id,path,threshold_global,vref_dac,vcm_dac,adc_hold_delay,periodic_reset_cycles,enable_periodic_reset,enable_rolling_periodic_reset,enable_miso_upstream,enable_miso_downstream,enable_miso_differential,enable_mosi,n_disabled_channels,disabled_channels,n_csa_disabled_channels,csa_disabled_channels,pixel_trim_min,pixel_trim_max,pixel_trim_mean,pixel_trim_hash,state_hash_without_meta
0,1,1,11,asic_configs/asic_configs-2026_09_22_17_43_02_CDT/m0/config_1-1-11.json,255,223,68,,4,1,1,"[0,0,1,0]","[1,0,0,0]","[1,1,1,1]","[0,1,0,1]",15,6;7;8;9;22;23;24;25;38;39;40;54;55;56;57,15,6;7;8;9;22;23;24;25;38;39;40;54;55;56;57,,,,,286f99e5b173b04e46fd862a2056ececddd507d619b238b43b2443c1cf23489a
0,1,1,12,asic_configs/asic_configs-2026_09_22_17_43_02_CDT/m0/config_1-1-12.json,255,223,68,,4,1,1,"[0,0,1,0]","[1,0,0,0]","[1,1,1,1]","[0,1,0,1]",15,6;7;8;9;22;23;24;25;38;39;40;54;55;56;57,15,6;7;8;9;22;23;24;25;38;39;40;54;55;56;57,,,,,2bd98e686532e24a34a4f86ae27f57f5186ce5df3a3fd36afee1a13f8cc285a4
0,1,1,13,asic_configs/asic_configs-2026_09_22_17_43_02_CDT/m0/config_1-1-13.json,255,223,68,,4,1,1,"[0,0,1,0]","[1,0,0,0]","[1,1,1,1]","[0,1,0,1]",15,6;7;8;9;22;23;24;25;38;39;40;54;55;56;57,15,6;7;8;9;22;23;24;25;38;39;40;54;55;56;57,,,,,593cd79004863d7b2d7dae3294a2f340e6d7036eb5afdc242985ad04430a29bf
0,1,1,14,asic_configs/asic_configs-2026_09_22_17_43_02_CDT/m0/config_1-1-14.json,255,223,68,,4,1,1,"[0,0,1,0]","[1,0,0,0]","[1,1,1,1]","[0,1,0,1]",15,6;7;8;9;22;23;24;25;38;39;40;54;55;56;57,15,6;7;8;9;22;23;24;25;38;39;40;54;55;56;57,,,,,40865f194b8d7798c306cba6a586cda5d6e641caf1b2b5b8cefa50143e48e474
0,1,1,15,asic_configs/asic_configs-2026_09_22_17_43_02_CDT/m0/config_1-1-15.json,255,223,68,,4,1,1,"[0,0,1,0]","[1,0,0,0]","[1,1,1,1]","[0,1,0,1]",15,6;7;8;9;22;23;24;25;38;39;40;54;55;56;57,15,6;7;8;9;22;23;24;25;38;39;40;54;55;56;57,,,,,738b7adcad1a1895bd3fb5d0302c56d1b64e9f64c3ec72672c649bd10ccbfcd3
0,1,1,16,asic_configs/asic_configs-2026_09_22_17_43_02_CDT/m0/config_1-1-16.json,255,223,68,,4,1,1,"[0,0,1,0]","[1,0,0,0]","[1,1,1,1]","[0,1,0,1]",15,6;7;8;9;22;23;24;25;38;39;40;54;55;56;57,15,6;7;8;9;22;23;24;25;38;39;40;54;55;56;57,,,,,78a587f8797fe56870e68a32bb52fa19f849277ded7b030d5b23846bf0c29a08
0,1,1,17,asic_configs/asic_configs-2026_09_22_17_43_02_CDT/m0/config_1-1-17.json,255,223,68,,4,1,1,"[0,0,1,0]","[1,0,0,0]","[1,1,1,1]","[0,1,0,1]",15,6;7;8;9;22;23;24;25;38;39;40;54;55;56;57,15,6;7;8;9;22;23;24;25;38;39;40;54;55;56;57,,,,,7ef7b9705ce205c838573372a9c1b2722f23a8be539c19de7c89474bdc1e9ff0
0,1,1,18,asic_configs/asic_configs-2026_09_22_17_43_02_CDT/m0/config_1-1-18.json,255,223,68,,4,1,1,"[0,0,1,0]","[1,0,0,0]","[1,1,1,1]","[0,1,0,1]",15,6;7;8;9;22;23;24;25;38;39;40;54;55;56;57,15,6;7;8;9;22;23;24;25;38;39;40;54;55;56;57,,,,,8d19ce897bfc24079c640262564d1a2fd46228372c3a8981e0fd8679b2e7b8c4
0,1,1,19,asic_configs/asic_configs-2026_09_22_17_43_02_CDT/m0/config_1-1-19.json,255,223,68,,4,1,1,"[0,0,1,0]","[1,0,0,0]","[1,1,1,1]","[0,1,0,1]",15,6;7;8;9;22;23;24;25;38;39;40;54;55;56;57,15,6;7;8;9;22;23;24;25;38;39;40;54;55;56;57,,,,,8a8506b9d52a1e4c9bfa680b08887d42892b604913f76897272b281e283a2a8b
0,1,1,20,asic_configs/asic_configs-2026_09_22_17_43_02_CDT/m0/config_1-1-20.json,255,223,68,,4,1,1,"[0,1,0,0]","[1,0,0,0]","[1,1,1,1]","[0,1,1,0]",15,6;7;8;9;22;23;24;25;38;39;40;54;55;56;57,15,6;7;8;9;22;23;24;25;38;39;40;54;55;56;57,,,,,54f58ece138eb89949c6c2e89ae125b4aa684805f2a6089137300eb9b328b504
0,1,1,21,asic_configs/asic_configs-2026_09_22_17_43_02_CDT/m0/config_1-1-21.json,255,223,68,,4,1,1,"[0,1,0,0]","[0,0,1,0]","[1,1,1,1]","[0,0,1,1]",15,6;7;8;9;22;23;24;25;38;39;40;54;55;56;57,15,6;7;8;9;22;23;24;25;38;39;40;54;55;56;57,,,,,72db84e2f9a6e675d7825aa1bbb1d0009bbf072c85f822597ef019da6822285e
0,1,1,22,asic_configs/asic_configs-2026_09_22_17_43_02_CDT/m0/config_1-1-22.json,255,223,68,,4,1,1,"[1,0,0,0]","[0,0,1,0]","[1,1,1,1]","[0,1,0,1]",15,6;7;8;9;22;23;24;25;38;39;40;54;55;56;57,15,6;7;8;9;22;23;24;25;38;39;40;54;55;56;57,,,,,febea77f85d4b0076250e48aab7eded1c97a2fd885637e21e70ff6d0acdceff9
0,1,1,23,asic_configs/asic_configs-2026_09_22_17_43_02_CDT/m0/config_1-1-23.json,255,223,68,,4,1,1,"[1,0,0,0]","[0,0,1,0]","[1,1,1,1]","[0,1,0,1]",15,6;7;8;9;22;23;24;25;38;39;40;54;55;56;57,15,6;7;8;9;22;23;24;25;38;39;40;54;55;56;57,,,,,87e5758e5b5772e0119829e92ee999b4685645df5cbc30c2afbfbe162134869b
0,1,1,24,asic_configs/asic_configs-2026_09_22_17_43_02_CDT/m0/config_1-1-24.json,255,223,68,,4,1,1,"[1,0,0,0]","[0,0,1,0]","[1,1,1,1]","[0,1,0,1]",15,6;7;8;9;22;23;24;25;38;39;40;54;55;56;57,15,6;7;8;9;22;23;24;25;38;39;40;54;55;56;57,,,,,c66dfbea4e3dbb81d0f1b507f51261188ec772a5d61ec5aed24438d576825dd0
0,1,1,25,asic_configs/asic_configs-2026_09_22_17_43_02_CDT/m0/config_1-1-25.json,255,223,68,,4,1,1,"[1,0,0,0]","[0,0,1,0]","[1,1,1,1]","[0,1,0,1]",15,6;7;8;9;22;23;24;25;38;39;40;54;55;56;57,15,6;7;8;9;22;23;24;25;38;39;40;54;55;56;57,,,,,473025f0742badd598acbc3f8c7df8831fb050846a2be386b6db1016630bdda9
0,1,1,26,asic_configs/asic_configs-2026_09_22_17_43_02_CDT/m0/config_1-1-26.json,255,223,68,,4,1,1,"[1,0,0,0]","[0,0,1,0]","[1,1,1,1]","[0,1,0,1]",15,6;7;8;9;22;23;24;25;38;39;40;54;55;56;57,15,6;7;8;9;22;23;24;25;38;39;40;54;55;56;57,,,,,7ad46b3c531afc493492a7e4e2365fee311090467d214ceb1de041eb5631dcdf
0,1,1,27,asic_configs/asic_configs-2026_09_22_17_43_02_CDT/m0/config_1-1-27.json,255,223,68,,4,1,1,"[1,0,0,0]","[0,0,1,0]","[1,1,1,1]","[0,1,0,1]",15,6;7;8;9;22;23;24;25;38;39;40;54;55;56;57,15,6;7;8;9;22;23;24;25;38;39;40;54;55;56;57,,,,,9ca2685554c9e5b663524790287f1d9b2de41c7be18321f0a0c30ad4f32af249
0,1,1,28,asic_configs/asic_configs-2026_09_22_17_43_02_CDT/m0/config_1-1-28.json,255,223,68,,4,1,1,"[1,0,0,0]","[0,0,1,0]","[1,1,1,1]","[0,1,0,1]",15,6;7;8;9;22;23;24;25;38;39;40;54;55;56;57,15,6;7;8;9;22;23;24;25;38;39;40;54;55;56;57,,,,,19f93a71d9289e92c7c4d94fab2664b3b6362a34490a247b770e9b6c7b0a07c5
0,1,1,29,asic_configs/asic_configs-2026_09_22_17_43_02_CDT/m0/config_1-1-29.json,255,223,68,,4,1,1,"[1,0,0,0]","[0,0,1,0]","[1,1,1,1]","[0,1,0,1]",15,6;7;8;9;22;23;24;25;38;39;40;54;55;56;57,15,6;7;8;9;22;23;24;25;38;39;40;54;55;56;57,,,,,7e27115568110dadcff0b48d4bed769d897760cfc792c4a846ee892984f88961
0,1,1,30,asic_configs/asic_configs-2026_09_22_17_43_02_CDT/m0/config_1-1-30.json,255,223,68,,4,1,1,"[1,0,0,0]","[0,0,0,1]","[1,1,1,1]","[1,1,0,0]",15,6;7;8;9;22;23;24;25;38;39;40;54;55;56;57,15,6;7;8;9;22;23;24;25;38;39;40;54;55;56;57,,,,,e87b3c584ca56f77a048039bba28fdb94d54337a1d2e89b50e877d833b62c606
0,1,1,31,asic_configs/asic_configs-2026_09_22_17_43_02_CDT/m0/config_1-1-31.json,255,223,68,,4,1,1,"[0,0,1,0]","[0,0,0,1]","[1,1,1,1]","[1,0,0,1]",15,6;7;8;9;22;23;24;25;38;39;40;54;55;56;57,15,6;7;8;9;22;23;24;25;38;39;40;54;55;56;57,,,,,823445f1ffbe1c723035d127f85c875d1e0380a3f11aed9f0b18cbf21ea8f86e
