io_group,tile,active,pacman_version,asic_version,VDDD_DAC,VDDA_DAC,excluded_chips,n_excluded_chips
1,1,true,v1rev3b,2,"[39500,39500,40000,41000,39000,40000,39000,40500]","[46000,46000,46000,46000,46000,46000,46000,46000]",,0
1,2,true,v1rev3b,2,"[39500,39500,40000,41000,39000,40000,39000,40500]","[46000,46000,46000,46000,46000,46000,46000,46000]",37;71,2
1,3,true,v1rev3b,2,"[39500,39500,40000,41000,39000,40000,39000,40500]","[46000,46000,46000,46000,46000,46000,46000,46000]",,0
1,4,true,v1rev3b,2,"[39500,39500,40000,41000,39000,40000,39000,40500]","[46000,46000,46000,46000,46000,46000,46000,46000]",,0
1,5,true,v1rev3b,2,"[39500,39500,40000,41000,39000,40000,39000,40500]","[46000,46000,46000,46000,46000,46000,46000,46000]",100,1
1,6,true,v1rev3b,2,"[39500,39500,40000,41000,39000,40000,39000,40500]","[46000,46000,46000,46000,46000,46000,46000,46000]",,0
1,7,true,v1rev3b,2,"[39500,39500,40000,41000,39000,40000,39000,40500]","[46000,46000,46000,46000,46000,46000,46000,46000]",37,1
1,8,true,v1rev3b,2,"[39500,39500,40000,41000,39000,40000,39000,40500]","[46000,46000,46000,46000,46000,46000,46000,46000]",36,1
2,1,true,v1rev3b,2,"[40000,40000,40000,40000,40000,40000,42000,42500]","[46000,46000,46000,46000,46000,46000,46000,46000]",,0
2,2,true,v1rev3b,2,"[40000,40000,40000,40000,40000,40000,42000,42500]","[46000,46000,46000,46000,46000,46000,46000,46000]",,0
2,3,true,v1rev3b,2,"[40000,40000,40000,40000,40000,40000,42000,42500]","[46000,46000,46000,46000,46000,46000,46000,46000]",,0
2,4,true,v1rev3b,2,"[40000,40000,40000,40000,40000,40000,42000,42500]","[46000,46000,46000,46000,46000,46000,46000,46000]",,0
2,5,true,v1rev3b,2,"[40000,40000,40000,40000,40000,40000,42000,42500]","[46000,46000,46000,46000,46000,46000,46000,46000]",,0
2,6,true,v1rev3b,2,"[40000,40000,40000,40000,40000,40000,42000,42500]","[46000,46000,46000,46000,46000,46000,46000,46000]",68,1
2,7,true,v1rev3b,2,"[40000,40000,40000,40000,40000,40000,42000,42500]","[46000,46000,46000,46000,46000,46000,46000,46000]",,0
2,8,true,v1rev3b,2,"[40000,40000,40000,40000,40000,40000,42000,42500]","[46000,46000,46000,46000,46000,46000,46000,46000]",89,1
3,1,true,v1rev3b,2,"[41000,40000,40000,40500,40000,40000,40000,40000]","[46000,46000,46000,46000,46000,46000,46000,46000]",42,1
3,2,true,v1rev3b,2,"[41000,40000,40000,40500,40000,40000,40000,40000]","[46000,46000,46000,46000,46000,46000,46000,46000]",72;102,2
3,3,true,v1rev3b,2,"[41000,40000,40000,40500,40000,40000,40000,40000]","[46000,46000,46000,46000,46000,46000,46000,46000]",42,1
3,4,true,v1rev3b,2,"[41000,40000,40000,40500,40000,40000,40000,40000]","[46000,46000,46000,46000,46000,46000,46000,46000]",,0
3,5,true,v1rev3b,2,"[41000,40000,40000,40500,40000,40000,40000,40000]","[46000,46000,46000,46000,46000,46000,46000,46000]",,0
3,6,true,v1rev3b,2,"[41000,40000,40000,40500,40000,40000,40000,40000]","[46000,46000,46000,46000,46000,46000,46000,46000]",,0
3,7,true,v1rev3b,2,"[41000,40000,40000,40500,40000,40000,40000,40000]","[46000,46000,46000,46000,46000,46000,46000,46000]",,0
3,8,true,v1rev3b,2,"[41000,40000,40000,40500,40000,40000,40000,40000]","[46000,46000,46000,46000,46000,46000,46000,46000]",67,1
4,1,true,v1rev3b,2,"[40500,40000,40000,40500,40000,40500,40000,40000]","[46000,46000,46000,46000,46000,46000,46000,46000]",20;55;96;100;110,5
4,2,true,v1rev3b,2,"[40500,40000,40000,40500,40000,40500,40000,40000]","[46000,46000,46000,46000,46000,46000,46000,46000]",,0
4,3,true,v1rev3b,2,"[40500,40000,40000,40500,40000,40500,40000,40000]","[46000,46000,46000,46000,46000,46000,46000,46000]",,0
4,4,true,v1rev3b,2,"[40500,40000,40000,40500,40000,40500,40000,40000]","[46000,46000,46000,46000,46000,46000,46000,46000]",101,1
